awvCreateBus("Data" list(awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<0>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<1>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<2>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<3>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<4>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<5>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<6>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<7>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<8>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<9>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<10>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<11>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<12>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<13>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<14>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<15>" ) nil nil 1.65 nil "centre") ) "Signed Decimal") X,awvCreateBus("Data" list(awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<0>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<1>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<2>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<3>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<4>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<5>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<6>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<7>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<8>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<9>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<10>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<11>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<12>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<13>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<14>" ) nil nil 1.65 nil "centre") awvAnalog2Digital(leafValue( VT("/net11<0:15>") "bit" "/net11<15>" ) nil nil 1.65 nil "centre") ) "Signed Decimal") LogicBus
2.700050102500015e-05,1111000000010101
2.710050102500015e-05,1110111101001110
2.720050102500015e-05,1110111010000111
2.730050102500015e-05,1110110111000010
2.740050102500015e-05,1110110011111101
2.750050102500015e-05,1110110000111001
2.760050102500015e-05,1110101101110101
2.770050102500015e-05,1110101010110011
2.780050102500015e-05,1110100111110001
2.790050102500015e-05,1110100100110000
2.800050102500015e-05,1110100001110000
2.810050102500015e-05,1110011110110001
2.820050102500015e-05,1110011011110011
2.830050102500015e-05,1110011000110110
2.840050102500015e-05,1110010101111010
2.850050102500015e-05,1110010011000000
2.860050102500015e-05,1110010000000110
2.870050102500015e-05,1110001101001101
2.880050102500015e-05,1110001010010110
2.890050102500015e-05,1110000111100000
2.900050102500015e-05,1110000100101011
2.910050102500015e-05,1110000001110111
2.920050102500015e-05,1101111111000100
2.930050102500015e-05,1101111100010011
2.940050102500015e-05,1101111001100011
2.950050102500015e-05,1101110110110101
2.960050102500015e-05,1101110100001000
2.970050102500015e-05,1101110001011100
2.980050102500015e-05,1101101110110010
2.990050102500015e-05,1101101100001001
3.000050102500015e-05,1101101001100001
3.010050102500015e-05,1101100110111100
3.020050102500015e-05,1101100100010111
3.030050102500015e-05,1101100001110101
3.040050102500015e-05,1101011111010100
3.050050102500015e-05,1101011100110100
3.060050102500015e-05,1101011010010110
3.070050102500016e-05,1101010111111010
3.080050102500015e-05,1101010101100000
3.090050102500015e-05,1101010011000111
3.100050102500016e-05,1101010000110000
3.110050102500015e-05,1101001110011011
3.120050102500015e-05,1101001100001000
3.130050102500016e-05,1101001001110110
3.140050102500015e-05,1101000111100110
3.150050102500015e-05,1101000101011000
3.160050102500015e-05,1101000011001100
3.170050102500015e-05,1101000001000010
3.180050102500015e-05,1100111110111010
3.190050102500015e-05,1100111100110100
3.200050102500015e-05,1100111010110000
3.210050102500016e-05,1100111000101110
3.220050102500015e-05,1100110110101101
3.230050102500015e-05,1100110100101111
3.240050102500016e-05,1100110010110011
3.250050102500015e-05,1100110000111001
3.260050102500015e-05,1100101111000001
3.270050102500015e-05,1100101101001011
3.280050102500015e-05,1100101011010111
3.290050102500015e-05,1100101001100110
3.300050102500015e-05,1100100111110110
3.310050102500015e-05,1100100110001001
3.320050102500015e-05,1100100100011110
3.330050102500015e-05,1100100010110101
3.340050102500015e-05,1100100001001111
3.350050102500016e-05,1100011111101011
3.360050102500015e-05,1100011110001001
3.370050102500015e-05,1100011100101001
3.380050102500016e-05,1100011011001011
3.390050102500015e-05,1100011001110000
3.400050102500015e-05,1100011000010111
3.410050102500015e-05,1100010111000001
3.420050102500015e-05,1100010101101101
3.430050102500015e-05,1100010100011011
3.440050102500015e-05,1100010011001100
3.450050102500015e-05,1100010001111111
3.460050102500015e-05,1100010000110100
3.470050102500015e-05,1100001111101100
3.480050102500015e-05,1100001110100110
3.490050102500016e-05,1100001101100011
3.500050102500015e-05,1100001100100010
3.510050102500015e-05,1100001011100100
3.520050102500016e-05,1100001010101000
3.530050102500015e-05,1100001001101110
3.540050102500015e-05,1100001000110111
3.550050102500015e-05,1100001000000011
3.560050102500015e-05,1100000111010001
3.570050102500015e-05,1100000110100010
3.580050102500015e-05,1100000101110101
3.590050102500015e-05,1100000101001010
3.600050102500016e-05,1100000100100011
3.610050102500015e-05,1100000011111101
3.620050102500015e-05,1100000011011010
3.630050102500016e-05,1100000010111010
3.640050102500015e-05,1100000010011101
3.650050102500015e-05,1100000010000010
3.660050102500015e-05,1100000001101001
3.670050102500015e-05,1100000001010011
3.680050102500015e-05,1100000001000000
3.690050102500015e-05,1100000000101111
3.700050102500015e-05,1100000000100001
3.710050102500015e-05,1100000000010101
3.720050102500015e-05,1100000000001100
3.730050102500015e-05,1100000000000110
